Timestamp,Country,State (na if not applicable),City,Age,Major Category/Industry,Major,City in Taiwan you're from,Birth Month,Comments/Questions,Gender,Age When Moved Abroad,Where would you rather be
12/19/2018 21:24:53,Malaysia ,Malaysia ,Kuala Lumpur ,19,Language school ,Language center,新竹,September,,Female,,
12/20/2018 6:25:00,Malaysia,Penang,Bukit mertajam,20,"Art, Music, Architecture, Film, Media",,新竹,November,,Female,17,10
12/20/2018 5:32:45,Korea,Korea,Seoul,23,Language school,Economics,新竹,February,,Female,23,5
12/20/2018 0:49:15,Japan ,Na,Oita ken,21,"Economics, Management, Business, Marketing",,新北,March,,Female,18,3
12/19/2018 17:59:31,Japan,Na,東京,21,"Economics, Management",,高雄,October,,Female,,
12/19/2018 23:26:56,Japan,山口県,周南市,22,"Economics, Management",,新竹,April,,Female,,
12/19/2018 19:19:00,Japan,Not,Tokyo,23,"Economics, Management",,高雄,June,,Female,,
12/19/2018 0:23:28,Japan,千葉,市川市,20,"Economics, Management",,桃園,January,,,,
12/19/2018 2:29:57,Japan,Chiba,Chiba,21,"Economics, Management",,新北,December,,Male,,
12/19/2018 11:04:45,Japan,Osaka ,Ikeda,25,"Economics, Management",,台中,December,,Female,,
12/19/2018 22:35:45,Japan,Nah,Oita,21,"Economics, Management",International relations,桃園,April,,Female,,
12/19/2018 18:16:28,Japan,Tokyo,Tokyo,20,"Economics, Management",Marketing,彰化,May,,Female,,
12/19/2018 21:52:05,Japan,Hokkaido,Kitami,20,Engineering,Engineering,台中,July,,Female,,
12/19/2018 13:31:46,Japan,kyuushuu,Nagasaki ,25,Humanities,Aquaculture ,桃園,July,,Female,,
12/19/2018 22:27:40,Japan,Not,Tokyo,23,Humanities,Cultural and tourism,台北,May,,Female,,
12/19/2018 21:53:25,Japan,Shimane,Matsue,23,Humanities,Humanities,新北,October,,Female,,
12/19/2018 21:33:36,Japan,I don’t know ,OSAKA,19,,,桃園,January,,Female,,
12/19/2018 23:04:11,Japan,na,Tokyo,24,,,高雄,September,,Female,,
12/20/2018 0:22:49,Japan,Osaka,Sakai ,26,Social sciences ,,新北,September,,Female,,
12/20/2018 1:13:25,Japan,Na,Tokyo,18,"Humanities, Social Sciences, Political Sciences",,新北,,,Male,18,7
12/20/2018 2:02:46,Japan,Na,Tokyo,24,,Media and Communication ,新北,July,,Female,20,5
12/20/2018 2:10:00,Japan,Osaka,Osaka,21,"Art, Music, Architecture, Film, Media",Game Design ,台中,May,,Female,19,6
12/20/2018 2:19:53,Japan,na,Osaka,22,"Humanities, Social Sciences, Political Sciences",policy science,桃園,April,,Female,18,1
12/20/2018 2:53:00,Japan,na,Tokyo,20,"Art, Music, Architecture, Film, Media",Film and media,新北,March,Actually I was born in the US but I moved to Taiwan before elementary school ,Female,18,10
12/20/2018 4:51:09,Japan,Koushietsu,Niigata ken,23,"Art, Music, Architecture, Film, Media",art,台南,November,,Male,22,4
12/20/2018 5:51:00,Japan,東京,Tokyo,23,"Art, Music, Architecture, Film, Media",Music,桃園,June,,Female,23,3
12/20/2018 8:20:51,Japan,Sophomore of NUCB,Nagoya,22,"Economics, Management, Business, Marketing",Economics,彰化,November,,Female,19,8
12/20/2018 11:45:47,Japan,Na,Osaka,23,"Economics, Management, Business, Marketing",Economics,台北,November,,Female,19,9
12/18/2018 22:33:33,Italy,Lombardia,Milano,23,"Art, Music, Architecture, Film, Media",,台南,January,,,,
12/19/2018 7:49:27,Italy,MI,Milan,21,"Medical Sciences, Medicine, Nursing",Medicine ,台中,December,,Female,,
12/20/2018 2:00:26,Ireland,Na,Dublin,20,"Economics, Management, Business, Marketing",Commerce ,台南,August,,Female,20,5
12/20/2018 2:21:59,Hongkong,Na,沙田,19,"Science, Math",MBTE,台北,May,,Male,18,4
12/19/2018 17:44:24,Hong Kong,NA,Hong Kong,21,"Economics, Management",Finance,台北,June,,Male,,
12/19/2018 3:07:36,Germany ,Nordrhein-Westfalen,Münster,25,"Art, Music, Architecture, Film, Media",Music,台南,September,,Female,,
