Timestamp,Country,State (na if not applicable),City,Age,Major Category/Industry,Major,City in Taiwan you're from,Birth Month,Comments/Questions,Gender,Age When Moved Abroad,Where would you rather be
12/19/2018 21:24:53,USA,Florida,New Port Richey,,Engineering,,屏東,,,Female,,
12/19/2018 22:49:32,USA,MI,Ann Arbor,24,Engineering,Mechanical  Engineering ,新北,November,,Female,,
12/19/2018 15:51:40,USA,Iowa,Iowa city,20,Engineering,Informatics ,台北,November,,Female,,
12/19/2018 3:56:24,USA,California,Cupertino,18,Humanities,Global studies ,台中,July,,Male,,
12/18/2018 19:54:29,USA,CA,San Diego,,Humanities,Political Science,台中,June,,,,
12/19/2018 13:17:59,USA,Ca,Davis,21,Humanities,Humanities,台北,December,,Female,,
12/19/2018 1:44:15,USA,Michigan ,Ann Arbor ,18,"Medical Sciences, Medicine, Nursing",Double majoring in neuroscience and film&media,台北,March,What about gender ,,,
12/19/2018 18:46:03,USA,PA,State college,21,"Medical Sciences, Medicine, Nursing",Medical Sciences,台北,June,,Female,,
12/19/2018 20:41:59,USA,OR,Corvallis,22,"Medical Sciences, Medicine, Nursing",Medical Sciences,彰化,October,,Female,,
12/19/2018 21:45:06,USA,MA,Boston,20,"Medical Sciences, Medicine, Nursing",Medical Sciences,新北,October,,Female,,
12/19/2018 14:12:56,USA,CA,Concord,20,"Medical Sciences, Medicine, Nursing",Pharmacy,屏東,April,,Female,,
12/18/2018 21:07:16,USA,Georgia,Athens,23,Science and Math,Animal science,台北,May,,,,
12/18/2018 19:31:18,USA,CA,Irvine,,Science and Math,,台北,August,,,,
12/19/2018 13:48:31,USA,Arizona,Tempe,21,Science and Math,Biomedical Sciences (premed),台北,March,,Female,,
12/19/2018 2:55:10,USA,CA,Rowland Heights ,18,Science and Math,Biological Science ,台北,April,,Female,,
12/19/2018 17:48:41,USA,PA ,Bryn Mawr,20,Science and Math,,台中,August,,Female,,
12/19/2018 20:10:55,USA,CA,San Diego ,18,Science and Math,,苗栗,May,,Female,,
12/19/2018 23:27:18,USA,CA,Santa Cruz ,18,Science and Math,,新北,,,Male,,
12/19/2018 23:31:26,USA,CT,New Haven,28,Science and Math,Chemistry PhD,花蓮,April,,Female,,
12/19/2018 23:48:10,USA,Oregon ,Corvallis ,20,Science and Math,Zoology ,台北,July,,Female,,
12/19/2018 20:11:44,USA,AZ,Tucson,24,Science and Math,"Speech, Language, and Hearing Sciences",彰化,February,,Female,,
12/19/2018 1:55:37,USA,WA,seattle ,18,Still in High School,Still in High School,台中,October,,,,
12/19/2018 8:08:01,USA,MA,Boston,18,Still in High School,music-instrumental,新竹,September,,Female,,
12/19/2018 15:10:35,USA,NY,New York City,15,Still in High School,Still in High School,花蓮,April,,Male,,
12/19/2018 6:50:47,USA,FLORIDA ,Gainesville,22,,,桃園,June,,Male,,
12/19/2018 12:37:11,USA,Pennsylvania ,Philadelphia ,21,,,新北,February,,Female,,
12/19/2018 19:53:09,USA,New Jersey ,New Brunswick ,,,,,,,Female,,
12/19/2018 22:47:20,USA,Washington ,Seattle ,23,,,台北,November,,Female,,
12/20/2018 0:16:26,USA,NJ,New Brunswick ,21,,,台南,February,,Female,,
12/20/2018 0:30:23,USA,Oregon,Corvallis,25,"Economics, Management, Business, Marketing",MBA,桃園,December,,Female,,
12/20/2018 0:51:56,USA,MA ,Boston ,18,"Art, Music, Architecture, Film, Media",Psychology ,台北,March,,Female,18,8
12/20/2018 0:55:39,USA,Fl,Tampa,23,"Economics, Management, Business, Marketing",Finance,台北,March,,Female,22,7
12/20/2018 0:59:06,USA,Alabama ,Burning ,23,Education,TESOL,新北,December,,Female,23,6
12/20/2018 2:18:06,USA,MO,Columbia,20,"Engineering, Computer Science",Computer Science,彰化,,,Male,17,
12/20/2018 2:22:35,USA,CA,Los Angeles,25,"Engineering, Computer Science",Computer science,新竹,March,,Male,24,10
12/20/2018 2:25:05,USA,CA,Cupertino,19,"Economics, Management, Business, Marketing",Business Administration,新竹,,,Male,15,10
12/20/2018 3:25:29,USA,WA,Seattle,20,"Economics, Management, Business, Marketing",,新北,September,,Female,17,
12/20/2018 3:33:33,USA,CA,San Diego,21,"Art, Music, Architecture, Film, Media",ICAM,高雄,September,,Prefer not to say,15,4
12/20/2018 3:34:40,USA,CA,San Francisco ,21,Education,English Education ,桃園,April,,Female,20,5
12/20/2018 3:34:47,USA,WA,Seattle,18,"Art, Music, Architecture, Film, Media",Architecture ,台北,September,,Female,17,8
12/20/2018 3:47:10,USA,Kansas,Wichita,,,,,,,Male,,
12/20/2018 3:48:38,USA,CA,Los angeles,25,"Economics, Management, Business, Marketing",,高雄,May,,Female,15,3
12/20/2018 3:52:59,USA,MA,Boston,21,"Engineering, Computer Science",Biomedical Engineering/ Pre-med,台北,November,,Female,18,5
12/20/2018 4:34:20,USA,CA,Davis,19,"Science, Math",Clinical nutrition ,台北,April,辛苦你！！放假了就好好玩耍吧～,Female,18,4
12/20/2018 4:37:51,USA,CA,LA,21,"Engineering, Computer Science",Computer engineering ,嘉義,April,,Female,18,10
12/20/2018 4:44:49,USA,TX,Denton,27,"Art, Music, Architecture, Film, Media",Vocal Performance,桃園,January,,Female,23,7
12/20/2018 4:46:31,USA,CA,Pleasant Hill,20,"Medical Sciences, Medicine, Nursing",Nutrition ,基隆,July,,Female,18,7
12/20/2018 4:46:41,USA,CA,Chino ,18,"Medical Sciences, Medicine, Nursing",Biochemistry ,台北,April,,Female,17,2
12/20/2018 5:46:40,USA,CA,Davis,19,"Medical Sciences, Medicine, Nursing",Neurobiology physiology and behavior ,台北,July,,Female,14,8
12/20/2018 5:49:47,USA,NY,Rochester,19,"Art, Music, Architecture, Film, Media",Applied Music - Cello,高雄,April,,Male,16,3
12/20/2018 6:01:43,USA,Guam ,Tamuning,19,"Economics, Management, Business, Marketing",Hotel management ,台北,January,,Female,14,5
12/20/2018 6:06:45,USA,FL,Gainesville,22,"Engineering, Computer Science",Computer Science Engineering,屏東,March,我沒跟到第一次的表單。 希望你能公布最多留學生的科系!!,Female,17,5
12/20/2018 6:45:17,USA,NY,Manhattan,21,"Art, Music, Architecture, Film, Media",Design ,台北,January,,Female,18,5
12/20/2018 7:33:50,USA,NY,New York city,25,"Art, Music, Architecture, Film, Media",Design,台北,February,,Female,23,
12/21/2018 2:58:44,USA,Texas,Dallas,21,"Economics, Management, Business, Marketing",,新北,May,,Female,15,7
12/19/2018 14:44:03,UK,na,London,19,"Art, Music, Architecture, Film, Media",Central Saint Martins(Fine Art),台中,October,,Female,,
12/19/2018 23:46:10,UK,na,Birmingham ,24,"Art, Music, Architecture, Film, Media",Art and Design ,宜蘭,December,,Female,,
12/19/2018 19:38:11,UK,na,Birmingham,22,"Economics, Management",Economics and Management,新竹,May,,Female,,
12/19/2018 7:07:59,UK,na,Lancaster,19,"Economics, Management",Advertising and marketing ,新北,April,,Female,,
12/19/2018 20:39:57,UK,na,York,25,Engineering,,台南,May,,Female,,
12/19/2018 15:34:16,UK,na,London ,15,Language school ,Language school ,高雄,July,,Female,,
12/19/2018 13:56:53,UK,na,Leeds,25,"Medical Sciences, Medicine, Nursing",Nutrition,台北,January,,Female,,
12/19/2018 20:19:11,UK,na,Birmingham ,18,Science and Math,Psychology ,桃園,August,,Female,,
12/19/2018 14:50:12,UK,na,London,14,Still in High School,,高雄,March,,Female,,
12/19/2018 20:28:13,UK,na,Manchester,,,,高雄,,,,,
12/20/2018 0:58:25,UK,Na,London,17,"Art, Music, Architecture, Film, Media",,台北,,,Female,17,4
12/20/2018 2:20:14,UK,N/A,Loughborough,24,"Economics, Management, Business, Marketing",MSc International Management ,台中,August,,Female,23,10
12/20/2018 4:30:22,UK,na,Oxford,18,"Medical Sciences, Medicine, Nursing",A level,台南,,,Female,16,7
12/20/2018 5:00:35,UK,Na,Nottingham ,18,"Science, Math",,新北,July,,Male,18,1
12/19/2018 20:51:42,Turkey,Istanbul province,Istanbul,24,"Medical Sciences, Medicine, Nursing",Medical Sciences,新北,January,我應該是第一個土耳其留學生~台土混血,Male,,
12/19/2018 20:41:37,Thailand ,na ,Bangkok ,22,"Art, Music, Architecture, Film, Media",,台中,March,,Female,,
12/19/2018 18:30:20,Switzerland ,Geneva ,Geneva ,20,"Economics, Management",,台北,July,Exchange for 1 year ,Female,,
12/19/2018 17:42:58,Switzerland ,na ,Montreux,19,"Economics, Management",Hotel management ,桃園,April,,Female,,
12/20/2018 5:46:08,Switzerland ,Valais,Bluche ,23,"Economics, Management, Business, Marketing",Hospitality ,彰化,January,,Female,23,8
12/19/2018 22:33:23,Switzerland,Geneva,Laussane,18,"Medical Sciences, Medicine, Nursing",Medical Sciences,高雄,November,,Female,,
12/19/2018 11:10:20,Switzerland,Geneva,Geneva ,22,,Development studies,台北,March,,Male,,
